@relation fact
@attribute cap.diameter numeric
@attribute habitat {'d','g','h','l','m','p','u','w'}
@attribute class {'e','p'}
@data
4.13,'l','e'
4.05,'l','e'
4.48,'d','e'
4.04,'l','e'
3.74,'d','e'
4.78,'l','e'
3.94,'l','e'
4.14,'l','e'
4.59,'d','e'
5.38,'l','e'
4.56,'l','e'
5.3,'d','e'
4.87,'l','e'
4.53,'d','e'
4.97,'l','e'
4.77,'d','e'
5.04,'d','e'
5.02,'l','e'
4.67,'d','e'
4.27,'d','e'
4.57,'l','e'
3.42,'l','e'
4.7,'d','e'
4.33,'d','e'
4.53,'l','e'
3.87,'d','e'
4.98,'l','e'
3.83,'d','e'
5.33,'d','e'
4.45,'l','e'
4.38,'l','e'
4.03,'l','e'
4.41,'d','e'
4.58,'l','e'
4.7,'d','e'
4.07,'l','e'
5.49,'d','e'
5.26,'d','e'
4.02,'d','e'
4.1,'l','e'
4.64,'d','e'
3.96,'d','e'
4.1,'d','e'
4.33,'l','e'
4.7,'l','e'
4.4,'l','e'
4.33,'d','e'
5.18,'d','e'
3.56,'l','e'
4.15,'d','e'
5.48,'l','e'
5.14,'l','e'
4.9,'l','e'
4.19,'l','e'
4.02,'d','e'
4.17,'l','e'
3.84,'d','e'
4.58,'l','e'
4.42,'d','e'
4.14,'d','e'
4.59,'l','e'
4.32,'d','e'
4.59,'d','e'
3.86,'d','e'
4.46,'l','e'
4.35,'l','e'
4.17,'l','e'
5.04,'l','e'
3.59,'l','e'
3.71,'d','e'
4.59,'d','e'
5.3,'l','e'
4.78,'d','e'
4.22,'l','e'
4.65,'d','e'
4.56,'d','e'
3.98,'d','e'
4.11,'l','e'
5.75,'l','e'
3.94,'d','e'
4.08,'l','e'
4.65,'l','e'
4.93,'d','e'
4,'d','e'
4.71,'d','e'
4.28,'d','e'
3.95,'d','e'
4.62,'l','e'
4.35,'l','e'
4.59,'l','e'
4.54,'l','e'
4.66,'l','e'
4.35,'l','e'
4.2,'l','e'
3.81,'d','e'
3.38,'l','e'
4.85,'l','e'
4.12,'l','e'
4.53,'d','e'
5.49,'l','e'
5.02,'l','e'
4.16,'d','e'
4.03,'d','e'
4.78,'l','e'
4.08,'d','e'
2.83,'g','p'
2.95,'g','p'
2.69,'g','p'
3.15,'g','p'
3.16,'g','p'
2.9,'g','p'
2.99,'g','p'
3.5,'g','p'
2.72,'g','p'
2.95,'g','p'
2.83,'g','p'
2.55,'g','p'
2.58,'g','p'
2.52,'g','p'
3.48,'g','p'
3.12,'g','p'
2.64,'g','p'
2.77,'g','p'
3.48,'g','p'
3.01,'g','p'
3.16,'g','p'
2.42,'g','p'
2.4,'g','p'
2.45,'g','p'
3.36,'g','p'
2.64,'g','p'
2.82,'g','p'
2.86,'g','p'
2.94,'g','p'
2.77,'g','p'
2.35,'g','p'
2.96,'g','p'
2.78,'g','p'
2.39,'g','p'
3.53,'g','p'
2.85,'g','p'
2.87,'g','p'
3.28,'g','p'
3.94,'g','p'
3.25,'g','p'
3.36,'g','p'
2.47,'g','p'
3.26,'g','p'
3.52,'g','p'
2.73,'g','p'
3.05,'g','p'
2.64,'g','p'
2.46,'g','p'
2.89,'g','p'
3.4,'g','p'
2.97,'g','p'
3,'g','p'
2.38,'g','p'
2.68,'g','p'
2.28,'g','p'
2.98,'g','p'
2.85,'g','p'
2.78,'g','p'
3.06,'g','p'
2.75,'g','p'
3.12,'g','p'
3.43,'g','p'
3.27,'g','p'
2.8,'g','p'
2.86,'g','p'
2.55,'g','p'
3.21,'g','p'
3.01,'g','p'
3.02,'g','p'
2.44,'g','p'
2.35,'g','p'
3.39,'g','p'
3.84,'g','p'
3.12,'g','p'
2.92,'g','p'
2.84,'g','p'
2.48,'g','p'
3.11,'g','p'
3.03,'g','p'
3.54,'g','p'
3.34,'g','p'
3.34,'g','p'
3.14,'g','p'
3.13,'g','p'
2.79,'g','p'
3.09,'g','p'
2.63,'g','p'
2.58,'g','p'
2.74,'g','p'
2.95,'g','p'
2.73,'g','p'
3.1,'g','p'
3.19,'g','p'
2.92,'g','p'
2.57,'g','p'
3.15,'g','p'
3.75,'g','p'
3.17,'g','p'
3.05,'g','p'
2.91,'g','p'
3.14,'g','p'
3.32,'g','p'
2.89,'g','p'
3.15,'g','p'
2.87,'g','p'
2.51,'g','p'
2.49,'g','p'
2.58,'g','p'
3.15,'g','p'
3.15,'g','p'
3.12,'g','p'
3,'g','p'
3.21,'g','p'
2.82,'g','p'
3.34,'g','p'
3.44,'g','p'
3.4,'g','p'
2.96,'g','p'
3.47,'g','p'
2.97,'g','p'
2.79,'g','p'
2.24,'g','p'
3.19,'g','p'
2.38,'g','p'
2.94,'g','p'
2.18,'g','p'
2.81,'g','p'
3.06,'g','p'
2.67,'g','p'
3.1,'g','p'
3.04,'g','p'
2.77,'g','p'
3.17,'g','p'
3.19,'g','p'
2.72,'g','p'
3.03,'g','p'
2.45,'g','p'
3.44,'g','p'
3.2,'g','p'
2.47,'g','p'
2.64,'g','p'
2.81,'g','p'
3.16,'g','p'
2.16,'g','p'
3.09,'g','p'
2.56,'g','p'
3.14,'g','p'
3.31,'g','p'
2.85,'g','p'
3.42,'g','p'
3.13,'g','p'
3.36,'g','p'
2.87,'g','p'
3.08,'g','p'
3.18,'g','p'
2.88,'g','p'
2.99,'g','p'
2.79,'g','p'
3.23,'g','p'
2.38,'g','p'
2.97,'g','p'
2.95,'g','p'
3.19,'g','p'
2.69,'g','p'
2.9,'g','p'
2.79,'g','p'
2.5,'g','p'
3.03,'g','p'
3.41,'g','p'
2.48,'g','p'
2.55,'g','p'
2.84,'g','p'
2.87,'g','p'
2.67,'g','p'
2.45,'g','p'
2.93,'g','p'
3.19,'g','p'
2.6,'g','p'
3.22,'g','p'
3.3,'g','p'
2.34,'g','p'
2.6,'g','p'
2.46,'g','p'
2.97,'g','p'
2.81,'g','p'
3.34,'g','p'
3.04,'g','p'
3.66,'g','p'
3.33,'g','p'
2.51,'g','p'
3.18,'g','p'
2.89,'g','p'
2.77,'g','p'
3.2,'g','p'
3.57,'g','p'
2.86,'g','p'
2.74,'g','p'
3.07,'g','p'
3.44,'g','p'
2.97,'g','p'
3.12,'g','p'
2.8,'g','p'
3.2,'g','p'
2.99,'g','p'
2.7,'g','p'
3.42,'g','p'
2.55,'g','p'
2.92,'g','p'
2.94,'g','p'
3.16,'g','p'
2.87,'g','p'
2.77,'g','p'
3,'g','p'
3.03,'g','p'
3,'g','p'
3,'g','p'
3.04,'g','p'
3,'g','p'
2.36,'g','p'
2.49,'g','p'
2.99,'g','p'
3.04,'g','p'
2.41,'g','p'
3.21,'g','p'
3.03,'g','p'
2.73,'g','p'
2.83,'g','p'
3.09,'g','p'
3.58,'g','p'
3.25,'g','p'
2.67,'g','p'
3.31,'g','p'
2.93,'g','p'
2.97,'g','p'
2.98,'g','p'
2.92,'g','p'
3.25,'g','p'
3.16,'g','p'
3.67,'g','p'
2.94,'g','p'
3.21,'g','p'
2.35,'g','p'
3.22,'g','p'
3.06,'g','p'
2.61,'g','p'
3.04,'g','p'
2.81,'g','p'
3.05,'g','p'
2.57,'g','p'
2.65,'g','p'
2.81,'g','p'
2.72,'g','p'
2.65,'g','p'
3.11,'g','p'
2.72,'g','p'
3.35,'g','p'
2.6,'g','p'
3.37,'g','p'
3.33,'g','p'
2.8,'g','p'
3.15,'g','p'
2.86,'g','p'
3.46,'g','p'
2.69,'g','p'
2.66,'g','p'
2.73,'g','p'
2.8,'g','p'
3.36,'g','p'
3.02,'g','p'
2.79,'g','p'
3.05,'g','p'
3.12,'g','p'
2.92,'g','p'
2.43,'g','p'
3.67,'g','p'
2.98,'g','p'
2.68,'g','p'
3.34,'g','p'
3.14,'g','p'
3.26,'g','p'
2.43,'g','p'
3.02,'g','p'
3.62,'g','p'
3.44,'g','p'
3.05,'g','p'
2.88,'g','p'
3.19,'g','p'
2.54,'g','p'
3.31,'g','p'
2.38,'g','p'
3.41,'g','p'
2.92,'g','p'
2.73,'g','p'
3.46,'g','p'
3.14,'g','p'
2.63,'g','p'
3.1,'g','p'
3.38,'g','p'
2.87,'g','p'
2.52,'g','p'
3.04,'g','p'
2.75,'g','p'
3.08,'g','p'
2.93,'g','p'
2.79,'g','p'
2.73,'g','p'
2.69,'g','p'
2.84,'g','p'
2.59,'g','p'
2.58,'g','p'
3.37,'g','p'
2.61,'g','p'
2.88,'g','p'
3.07,'g','p'
2.24,'g','p'
3.31,'g','p'
3.33,'g','p'
3.18,'g','p'
3.34,'g','p'
2.42,'g','p'
2.63,'g','p'
2.87,'g','p'
2.38,'g','p'
3.14,'g','p'
2.71,'g','p'
3.31,'g','p'
2.31,'g','p'
2.62,'g','p'
3.36,'g','p'
2.88,'g','p'
2.54,'g','p'
3.4,'g','p'
3,'g','p'
3.2,'g','p'
3.35,'g','p'
2.47,'g','p'
2.93,'g','p'
3.64,'g','p'
3.57,'g','p'
3.53,'g','p'
3.25,'g','p'
2.63,'g','p'
3.02,'g','p'
2.96,'g','p'
3.01,'g','p'
3.1,'g','p'
2.61,'g','p'
2.49,'g','p'
2.84,'g','p'
2.56,'g','p'
2.55,'g','p'
3.16,'g','p'
2.58,'g','p'
4.77,'l','p'
3.9,'l','p'
4.71,'l','p'
4.23,'l','p'
4.91,'l','p'
3.98,'d','p'
4.92,'l','p'
4.3,'l','p'
4.33,'l','p'
4.51,'l','p'
3.97,'d','p'
4.46,'l','p'
4.35,'l','p'
4.3,'l','p'
4.16,'d','p'
4.09,'d','p'
4.21,'d','p'
4.55,'l','p'
3.66,'d','p'
4.51,'d','p'
3.64,'d','p'
3.82,'d','p'
3.42,'l','p'
4.16,'d','p'
3.91,'d','p'
4.29,'d','p'
5.07,'l','p'
4.38,'l','p'
4.65,'d','p'
5.17,'l','p'
4.52,'l','p'
4.87,'l','p'
4.46,'l','p'
4.4,'d','p'
3.67,'l','p'
4.29,'d','p'
5.28,'d','p'
4.47,'l','p'
4.86,'l','p'
4.9,'d','p'
3.95,'l','p'
4.27,'d','p'
4,'d','p'
5.4,'d','p'
3.8,'d','p'
4.63,'l','p'
4.92,'d','p'
5.65,'d','p'
4.56,'d','p'
3.9,'d','p'
5.37,'d','p'
3.27,'l','p'
4.34,'l','p'
4.95,'l','p'
4.4,'l','p'
4.22,'d','p'
5.1,'l','p'
4.18,'d','p'
4.4,'l','p'
3.92,'l','p'
4.66,'l','p'
4.61,'d','p'
4.56,'d','p'
4.51,'d','p'
4.82,'d','p'
4.41,'l','p'
4.47,'l','p'
4.15,'l','p'
4.47,'l','p'
4.58,'l','p'
4.03,'l','p'
4.44,'l','p'
4.91,'l','p'
4.5,'l','p'
5.37,'l','p'
3.8,'d','p'
4.3,'d','p'
5.45,'l','p'
5.4,'l','p'
4.33,'d','p'
4.67,'l','p'
5.71,'d','p'
4.58,'l','p'
4.26,'d','p'
4.78,'d','p'
3.98,'d','p'
5.09,'d','p'
4.2,'d','p'
5.1,'d','p'
3.88,'l','p'
5.28,'d','p'
5.35,'l','p'
5.55,'d','p'
4.36,'l','p'
4.59,'l','p'
4.51,'l','p'
5.01,'l','p'
4.59,'l','p'
4.17,'l','p'
3.91,'l','p'
4.73,'l','p'
4.34,'l','p'
4.03,'l','p'
5.06,'d','p'
5.04,'l','p'
4.07,'l','p'
4.39,'d','p'
5.15,'d','p'
4.94,'l','p'
4.61,'d','p'
4.04,'d','p'
4.71,'d','p'
4.01,'d','p'
3.17,'d','p'
4.1,'d','p'
4.45,'d','p'
4.77,'d','p'
4.32,'d','p'
5.3,'d','p'
4.58,'d','p'
4.5,'d','p'
4.6,'d','p'
4.46,'d','p'
4.97,'l','p'
3.81,'l','p'
4.48,'d','p'
4.45,'d','p'
4.51,'l','p'
4.68,'l','p'
5.21,'l','p'
4.33,'d','p'
4.71,'l','p'
3.94,'d','p'
3.68,'l','p'
4.55,'d','p'
3.7,'d','p'
4.83,'d','p'
4.91,'l','p'
4.81,'d','p'
4,'l','p'
4.46,'d','p'
4.64,'l','p'
4.22,'l','p'
4.2,'d','p'
4.87,'d','p'
4,'d','p'
4.75,'d','p'
5.05,'d','p'
4.06,'d','p'
4.91,'l','p'
4.84,'l','p'
4.9,'l','p'
5.31,'l','p'
5.26,'l','p'
4.29,'d','p'
4.27,'l','p'
3.89,'d','p'
3.94,'d','p'
5.07,'d','p'
3.81,'d','p'
4.3,'l','p'
4.81,'l','p'
4.02,'l','p'
4.87,'l','p'
4.52,'l','p'
4.36,'d','p'
4.73,'d','p'
4.97,'d','p'
4.52,'l','p'
4.47,'l','p'
4.17,'d','p'
4.49,'l','p'
3.81,'d','p'
5.03,'l','p'
4.03,'d','p'
4.62,'d','p'
4.49,'d','p'
3.85,'d','p'
5.32,'l','p'
3.83,'d','p'
4.64,'l','p'
3.95,'d','p'
3.87,'d','p'
4.39,'d','p'
4.68,'d','p'
3.95,'l','p'
3.78,'d','p'
3.88,'d','p'
4.83,'l','p'
4.54,'l','p'
4.4,'l','p'
5.01,'d','p'
4.59,'d','p'
4.62,'l','p'
4.18,'d','p'
3.9,'l','p'
4.37,'l','p'
4.63,'l','p'
3.93,'d','p'
4.58,'l','p'
4.03,'l','p'
3.99,'d','p'
4.57,'l','p'
5.2,'d','p'
4.59,'l','p'
3.54,'l','p'
4.01,'l','p'
4.63,'l','p'
4.45,'d','p'
4.13,'l','p'
4.23,'d','p'
4.83,'l','p'
4.84,'l','p'
4.23,'l','p'
4.1,'l','p'
4.91,'l','p'
3.7,'l','p'
3.65,'d','p'
3.97,'l','p'
3.61,'l','p'
5.25,'d','p'
4.58,'d','p'
4.21,'l','p'
4.73,'d','p'
4.24,'l','p'
5.04,'d','p'
4.45,'d','p'
5.06,'d','p'
4.94,'l','p'
5.49,'d','p'
4.04,'d','p'
4.27,'l','p'
4.71,'d','p'
3.38,'l','p'
4.42,'l','p'
5.83,'d','p'
3.73,'d','p'
5.15,'d','p'
4.03,'l','p'
4.85,'d','p'
3.52,'d','p'
3.73,'d','p'
4.23,'d','p'
4.37,'d','p'
3.46,'l','p'
4.2,'d','p'
5.17,'l','p'
4.59,'d','p'
4.82,'d','p'
4.25,'d','p'
4.54,'d','p'
4.67,'d','p'
4.57,'l','p'
4.6,'d','p'
3.1,'d','p'
4.19,'l','p'
4.57,'l','p'
4.24,'d','p'
4.08,'l','p'
4.4,'l','p'
4.78,'d','p'
4.08,'d','p'
4.16,'d','p'
4.37,'l','p'
5.59,'l','p'
5.65,'d','p'
4.68,'d','p'
4.35,'l','p'
4.07,'d','p'
4.81,'l','p'
3.85,'d','p'
5.01,'l','p'
3.61,'l','p'
4.79,'d','p'
3.08,'l','p'
5.34,'d','p'
4.87,'l','p'
4.31,'d','p'
4.49,'d','p'
4.45,'l','p'
4.89,'l','p'
4.33,'l','p'
5.38,'d','p'
5.11,'d','p'
4.54,'d','p'
4.07,'l','p'
4.5,'d','p'
5.16,'l','p'
5.12,'l','p'
3.71,'d','p'
4.99,'d','p'
3.79,'l','p'
4.25,'l','p'
4.7,'l','p'
4.49,'d','p'
5.1,'d','p'
3.67,'l','p'
3.95,'l','p'
4.42,'d','p'
4.1,'l','p'
4.11,'d','p'
4.48,'d','p'
4.76,'l','p'
4.13,'l','p'
4.3,'d','p'
4.07,'d','p'
4.64,'d','p'
4.04,'l','p'
5.13,'d','p'
5.16,'l','p'
4.82,'l','p'
4.82,'d','p'
4.13,'d','p'
3.58,'l','p'
4.94,'l','p'
5.03,'l','p'
4.82,'d','p'
4.74,'l','p'
5.2,'l','p'
4.37,'l','p'
4.77,'l','p'
4.33,'d','p'
4.55,'l','p'
4.33,'l','p'
4.25,'l','p'
4.38,'d','p'
4.69,'l','p'
4.65,'l','p'
4.26,'l','p'
5.15,'d','p'
5.17,'l','p'
4.44,'d','p'
4.75,'d','p'
4.05,'d','p'
5.12,'d','p'
4.38,'d','p'
3.6,'l','p'
4.33,'d','p'
4.68,'l','p'
4.34,'d','p'
4.86,'l','p'
4.52,'d','p'
4.99,'d','p'
4.09,'l','p'
4.9,'l','p'
4.77,'d','p'
4.74,'l','p'
4.76,'d','p'
4.84,'d','p'
4.83,'d','p'
4.68,'d','p'
5.09,'l','p'
4.99,'d','p'
3.7,'l','p'
3.46,'d','p'
3.24,'l','p'
3.98,'l','p'
3.86,'d','p'
4.14,'l','p'
2.75,'d','p'
3.96,'d','p'
4.18,'l','p'
3.61,'l','p'
3.74,'d','p'
3.69,'l','p'
4.03,'l','p'
4.85,'l','p'
4.03,'l','p'
3.52,'d','p'
3.06,'d','p'
3.43,'d','p'
2.76,'d','p'
3.03,'d','p'
3.33,'l','p'
3.43,'l','p'
3.57,'l','p'
4.11,'d','p'
3.78,'d','p'
3.26,'d','p'
3.58,'d','p'
3.24,'l','p'
2.86,'d','p'
3.66,'l','p'
3.65,'l','p'
3.22,'l','p'
3,'d','p'
3.96,'l','p'
3.01,'d','p'
2.37,'d','p'
3.47,'l','p'
3.73,'l','p'
3.53,'d','p'
2.41,'l','p'
4.58,'l','p'
3.4,'l','p'
3.62,'l','p'
3.26,'d','p'
4.37,'l','p'
3.31,'d','p'
3.83,'d','p'
3.53,'d','p'
3.46,'l','p'
3.32,'d','p'
3.07,'d','p'
3.03,'d','p'
3.36,'l','p'
3.19,'d','p'
3.52,'d','p'
3.51,'d','p'
4.29,'d','p'
4.17,'d','p'
2.5,'l','p'
3.2,'l','p'
3.15,'l','p'
3.29,'d','p'
3.72,'l','p'
3.44,'d','p'
3.56,'d','p'
3.19,'l','p'
3.78,'d','p'
3.63,'l','p'
3.23,'d','p'
3.78,'d','p'
4.27,'l','p'
3.36,'d','p'
3.78,'d','p'
3.96,'l','p'
4.57,'l','p'
3.54,'l','p'
3.42,'l','p'
2.93,'l','p'
3.59,'l','p'
3.34,'d','p'
4.55,'d','p'
4.05,'d','p'
3.87,'d','p'
3.91,'l','p'
3.49,'l','p'
2.91,'l','p'
3.42,'d','p'
3.76,'l','p'
4.23,'l','p'
3.85,'l','p'
3.45,'l','p'
3.92,'l','p'
4.04,'l','p'
2.85,'d','p'
3.63,'l','p'
4.15,'l','p'
3.89,'l','p'
3.25,'l','p'
2.94,'l','p'
3.19,'l','p'
3.52,'d','p'
2.74,'d','p'
4.24,'l','p'
3.25,'d','p'
4.17,'l','p'
4.23,'d','p'
3.78,'l','p'
3.33,'l','p'
2.67,'d','p'
3.66,'d','p'
3.13,'d','p'
3.56,'d','p'
3.25,'d','p'
3.97,'d','p'
3.22,'d','p'
3.67,'d','p'
3.74,'l','p'
2.93,'d','p'
4.31,'d','p'
3.85,'l','p'
4.27,'l','p'
3.6,'l','p'
3.4,'d','p'
3.23,'d','p'
3.57,'d','p'
3.09,'d','p'
3.37,'l','p'
2.93,'l','p'
3.05,'d','p'
3.51,'l','p'
3.7,'d','p'
3.66,'d','p'
3.1,'l','p'
3.97,'d','p'
2.95,'d','p'
3.55,'d','p'
3.22,'d','p'
4.14,'l','p'
4.45,'l','p'
3.64,'d','p'
4.38,'l','p'
3.64,'l','p'
4.04,'d','p'
3.64,'l','p'
3.41,'d','p'
3.78,'l','p'
4.55,'d','p'
3.84,'d','p'
3.26,'l','p'
3.28,'l','p'
3.91,'d','p'
3.38,'l','p'
2.67,'d','p'
4.71,'l','p'
3.16,'l','p'
4,'l','p'
2.98,'d','p'
3.39,'l','p'
3.68,'d','p'
4.92,'d','p'
3.36,'l','p'
2.83,'d','p'
3.37,'l','p'
3.2,'l','p'
3.64,'l','p'
4.16,'d','p'
3.9,'d','p'
4.44,'l','p'
3.52,'l','p'
3.13,'l','p'
2.58,'d','p'
3.12,'l','p'
3.24,'l','p'
3.45,'l','p'
4.07,'l','p'
3.49,'d','p'
3.03,'l','p'
1.77,'d','p'
3.32,'d','p'
3.51,'l','p'
3.84,'d','p'
3.34,'l','p'
3.58,'l','p'
3.6,'l','p'
3.01,'l','p'
3.83,'d','p'
4.11,'l','p'
3.65,'l','p'
2.83,'d','p'
2.58,'d','p'
3.26,'l','p'
4,'l','p'
3.71,'l','p'
3.75,'l','p'
3.07,'l','p'
3.36,'d','p'
3.49,'l','p'
3.47,'d','p'
3.32,'d','p'
3.73,'l','p'
3.4,'d','p'
3.2,'l','p'
2.99,'l','p'
3.39,'d','p'
3.03,'d','p'
3.64,'d','p'
2.68,'l','p'
3.26,'l','p'
2.26,'d','p'
2.92,'d','p'
3.25,'d','p'
2.5,'d','p'
3.79,'l','p'
3.31,'l','p'
3.56,'l','p'
3.51,'l','p'
3.58,'l','p'
2.99,'d','p'
3.83,'d','p'
3.7,'d','p'
3.48,'l','p'
3.15,'l','p'
3.87,'l','p'
3.34,'l','p'
2.42,'l','p'
4.39,'l','p'
4.5,'l','p'
3.4,'l','p'
3.8,'d','p'
3.81,'l','p'
3.14,'d','p'
3.89,'l','p'
3.88,'d','p'
3.4,'d','p'
3.98,'l','p'
3.43,'d','p'
3.05,'l','p'
3.42,'l','p'
3.5,'d','p'
2.93,'d','p'
3.32,'d','p'
3.81,'d','p'
4,'d','p'
2.96,'l','p'
3.23,'d','p'
2.82,'d','p'
3.31,'l','p'
4.07,'l','p'
2.39,'d','p'
3.49,'d','p'
3.28,'d','p'
3.14,'l','p'
3.01,'d','p'
3.48,'d','p'
3.48,'l','p'
3.24,'l','p'
3.09,'l','p'
2.95,'l','p'
4.02,'l','p'
3.72,'d','p'
3.12,'d','p'
3.46,'d','p'
3.29,'l','p'
3.69,'d','p'
3.12,'l','p'
3.85,'l','p'
3.72,'d','p'
3.74,'d','p'
2.45,'l','p'
2.47,'d','p'
3.1,'d','p'
3.66,'l','p'
2.53,'l','p'
3.28,'l','p'
3.66,'l','p'
3.27,'l','p'
3.62,'l','p'
3.18,'l','p'
3.67,'d','p'
2.58,'l','p'
2.82,'d','p'
3.51,'l','p'
4.07,'d','p'
4.21,'d','p'
4.1,'d','p'
3.79,'d','p'
3.85,'l','p'
4.35,'d','p'
3.8,'d','p'
3.87,'l','p'
3.43,'d','p'
3.41,'d','p'
3.47,'d','p'
3.85,'d','p'
3.14,'d','p'
3.5,'d','p'
3.17,'l','p'
3.63,'d','p'
4.56,'l','p'
3.2,'l','p'
2.68,'l','p'
3.81,'l','p'
3.31,'d','p'
4.33,'l','p'
3.58,'d','p'
3.93,'l','p'
3.11,'l','p'
3.59,'d','p'
3.82,'l','p'
4.04,'l','p'
4.04,'l','p'
4.14,'l','p'
3.14,'d','p'
3.63,'l','p'
3.39,'d','p'
3.01,'d','p'
3.55,'d','p'
2.46,'l','p'
3.41,'d','p'
3.4,'l','p'
3.69,'d','p'
4.03,'l','p'
3.88,'l','p'
2.88,'l','p'
3.77,'d','p'
3.57,'d','p'
4.47,'l','p'
3.46,'d','p'
3.11,'l','p'
4.05,'d','p'
4.08,'d','p'
4.11,'d','p'
2.97,'l','p'
3.21,'d','p'
2.93,'l','p'
3.38,'l','p'
3.44,'l','p'
3.53,'d','p'
3.12,'l','p'
3.32,'d','p'
2.87,'d','p'
4.15,'l','p'
2.74,'l','p'
2.35,'d','p'
3.42,'l','p'
3.46,'l','p'
2.87,'d','p'
4.93,'l','p'
3.61,'l','p'
3.66,'d','p'
3.53,'d','p'
4.05,'l','p'
3.43,'l','p'
3.19,'l','p'
3.69,'l','p'
4.38,'d','p'
3.55,'d','p'
4.28,'d','p'
3.99,'d','p'
4.04,'d','p'
3.45,'d','p'
3.96,'l','p'
4.04,'d','p'
3.23,'d','p'
2.94,'d','p'
3.91,'d','p'
2.54,'l','p'
4.23,'d','p'
3.25,'d','p'
2.95,'l','p'
4.31,'l','p'
3.48,'d','p'
3.57,'d','p'
3.7,'l','p'
3.36,'l','p'
4.05,'l','p'
3.36,'d','p'
3.42,'d','p'
3.11,'l','p'
3.36,'l','p'
4.27,'l','p'
3.3,'d','p'
2.78,'d','p'
4.41,'d','p'
3.96,'d','p'
3.11,'d','p'
2.98,'l','p'
3.8,'l','p'
4.03,'l','p'
3.14,'l','p'
3.66,'l','p'
3.58,'d','p'
3.18,'l','p'
3.26,'d','p'
3.43,'l','p'
4.08,'d','p'
3.75,'l','p'
2.47,'d','p'
3.45,'l','p'
3.5,'d','p'
3.12,'l','p'
3.11,'l','p'
4.71,'d','p'
2.77,'d','p'
4.33,'d','p'
3.96,'l','p'
2.8,'d','p'
3.04,'d','p'
3.95,'d','p'
3.8,'d','p'
3.27,'l','p'
4.25,'l','p'
2.29,'l','p'
3.18,'d','p'
3.56,'d','p'
3.74,'l','p'
2.65,'l','p'
2.94,'l','p'
3.24,'d','p'
3.91,'l','p'
2.72,'d','p'
3.61,'l','p'
3.34,'d','p'
3.35,'d','p'
3.68,'l','p'
3.32,'l','p'
4.17,'l','p'
4.42,'d','p'
3.69,'l','p'
3.23,'d','p'
4.35,'d','p'
4.27,'d','p'
3.79,'d','p'
2.74,'l','p'
3.25,'l','p'
4.02,'d','p'
3.42,'l','p'
3.19,'d','p'
3.62,'l','p'
3.68,'d','p'
4.61,'l','p'
3.34,'d','p'
3.85,'l','p'
3.59,'l','p'
3.13,'l','p'
4.53,'l','p'
3.65,'l','p'
3.73,'l','p'
3.48,'l','p'
4.57,'l','p'
3.39,'d','p'
4.41,'l','p'
3.23,'d','p'
3.66,'l','p'
2.93,'d','p'
4.18,'d','p'
2.98,'l','p'
3.16,'d','p'
3.92,'l','p'
3.74,'d','p'
2.66,'d','p'
3.09,'d','p'
3.23,'l','p'
4.23,'l','p'
3.77,'d','p'
3.18,'d','p'
3.45,'d','p'
3.37,'l','p'
4.11,'d','p'
3.5,'l','p'
3.64,'d','p'
3.63,'l','p'
4.43,'l','p'
3.78,'d','p'
4.14,'d','p'
3.53,'l','p'
3.58,'d','p'
3.84,'l','p'
4.03,'l','p'
4.02,'d','p'
3.18,'l','p'
3.33,'d','p'
3.47,'d','p'
3.14,'l','p'
3.28,'d','p'
3,'d','p'
2.16,'l','p'
3.2,'l','p'
3.32,'l','p'
2.95,'d','p'
2.83,'l','p'
3.5,'l','p'
3.41,'l','p'
3.18,'d','p'
3.61,'l','p'
3.43,'d','p'
3.51,'l','p'
2.44,'l','p'
3.2,'l','p'
2.65,'d','p'
4.35,'l','p'
3.73,'l','p'
2.88,'d','p'
3.02,'l','p'
3.14,'d','p'
4.18,'l','p'
4.64,'d','p'
3.77,'l','p'
3.5,'d','p'
3.26,'l','p'
3.92,'d','p'
2.41,'d','p'
3.11,'d','p'
3.12,'l','p'
4.03,'l','p'
3.43,'l','p'
3.47,'l','p'
4,'d','p'
4.63,'d','p'
3.14,'d','p'
4.34,'l','p'
3.5,'d','p'
4.1,'d','p'
2.45,'l','p'
3.37,'d','p'
3.56,'d','p'
3.82,'l','p'
3.61,'d','p'
3.53,'l','p'
3.49,'d','p'
4.16,'l','p'
2.67,'d','p'
4.02,'l','p'
3.73,'l','p'
3.67,'d','p'
3.05,'d','p'
2.51,'l','p'
3.84,'d','p'
3.68,'d','p'
3.78,'d','p'
2.95,'d','p'
2.94,'l','p'
2.85,'l','p'
3.18,'d','p'
3.77,'d','p'
3.48,'d','p'
3.58,'d','p'
3.63,'l','p'
3.31,'l','p'
2.9,'d','p'
3.56,'l','p'
3.72,'l','p'
3.34,'l','p'
3.85,'d','p'
3.32,'d','p'
4.29,'d','p'
3.84,'d','p'
3.28,'d','p'
3.54,'d','p'
3.56,'l','p'
3.91,'l','p'
3.64,'l','p'
3.37,'d','p'
4.59,'d','p'
3.98,'d','p'
2.81,'d','p'
3.09,'d','p'
3.59,'d','p'
2.91,'l','p'
3.34,'d','p'
3.23,'d','p'
3.65,'l','p'
2.85,'l','p'
4.22,'l','p'
3.41,'l','p'
4.14,'l','p'
3.15,'d','p'
3.5,'d','p'
4.09,'l','p'
3.36,'d','p'
2.51,'l','p'
3.21,'d','p'
3.62,'l','p'
3.24,'l','p'
3.29,'d','p'
3.19,'l','p'
